"GEO_ID"	"GEO_ID2"	"NAME"	"MH2010"	"MH2011"	"MH2012"	"MH2013"	"MH2014"	"MH2015"	"MH2016"	"MH2017"	"MH2018"	"Latitude"	"Longitude"
"1"	"72001"	"0500000US72001"	"Adjuntas Municipio, Puerto Rico"	"87600"	"102800"	"111500"	"104600"	"103500"	"103000"	"90900"	"81700"	"85200"	18.17976106082	-66.75397646165
"2"	"72003"	"0500000US72003"	"Aguada Municipio, Puerto Rico"	"88600"	"89200"	"94100"	"90300"	"91000"	"90000"	"89900"	"87500"	"86300"	18.36056655127	-67.17501523278
"3"	"72005"	"0500000US72005"	"Aguadilla Municipio, Puerto Rico"	"106800"	"115000"	"123000"	"119700"	"126400"	"126500"	"124100"	"119700"	"120400"	18.45976703698	-67.12077466551
"4"	"72007"	"0500000US72007"	"Aguas Buenas Municipio, Puerto Rico"	"86100"	"90200"	"94600"	"96400"	"102900"	"102900"	"109100"	"115000"	"117300"	18.25108396095	-66.1273543299
"5"	"72009"	"0500000US72009"	"Aibonito Municipio, Puerto Rico"	"90800"	"100900"	"117100"	"120200"	"124800"	"129600"	"119900"	"109300"	"114100"	18.13114727321	-66.26443517493
"6"	"72011"	"0500000US72011"	"Añasco Municipio, Puerto Rico"	"95700"	"109900"	"126200"	"110300"	"114400"	"114100"	"100400"	"91200"	"88800"	18.2880893631	-67.1206511956
"7"	"72013"	"0500000US72013"	"Arecibo Municipio, Puerto Rico"	"95700"	"99400"	"104100"	"101700"	"101500"	"99800"	"98200"	"96600"	"97400"	18.40690964954	-66.6752476307
"8"	"72015"	"0500000US72015"	"Arroyo Municipio, Puerto Rico"	"85700"	"86800"	"91700"	"87700"	"90200"	"91600"	"92300"	"87700"	"88900"	17.99811780868	-66.05636873064
"9"	"72017"	"0500000US72017"	"Barceloneta Municipio, Puerto Rico"	"104900"	"105300"	"109700"	"104500"	"98700"	"106300"	"108200"	"101900"	"106200"	18.44574672001	-66.56042745954
"10"	"72019"	"0500000US72019"	"Barranquitas Municipio, Puerto Rico"	"83500"	"88800"	"102800"	"101800"	"107600"	"99000"	"102500"	"90600"	"101200"	18.20175267823	-66.30985443088
