"","merge","Municipio","year","Ndeath","GEO_ID","AveDeath"
"1","720012010","Adjuntas",2010,79,72001,0
"2","720012011","Adjuntas",2011,90,72001,0
"3","720012012","Adjuntas",2012,72,72001,0
"4","720012013","Adjuntas",2013,68,72001,0
"5","720012014","Adjuntas",2014,72,72001,0
"6","720012015","Adjuntas",2015,71,72001,0
"7","720012016","Adjuntas",2016,64,72001,0
"8","720012017","Adjuntas",2017,75,72001,0
"9","720012018","Adjuntas",2018,79,72001,38
"10","720032010","Aguada",2010,115,72003,0
"11","720032011","Aguada",2011,105,72003,0
"12","720032012","Aguada",2012,133,72003,0
"13","720032013","Aguada",2013,139,72003,0
"14","720032014","Aguada",2014,145,72003,0
"15","720032015","Aguada",2015,134,72003,0
"16","720032016","Aguada",2016,158,72003,0
"17","720032017","Aguada",2017,147,72003,0
"18","720032018","Aguada",2018,155,72003,86
"19","720052010","Aguadilla",2010,656,72005,0
"20","720052011","Aguadilla",2011,633,72005,0
"21","720052012","Aguadilla",2012,635,72005,0
"22","720052013","Aguadilla",2013,687,72005,0
"23","720052014","Aguadilla",2014,688,72005,0
"24","720052015","Aguadilla",2015,661,72005,0
"25","720052016","Aguadilla",2016,697,72005,0
"26","720052017","Aguadilla",2017,681,72005,0
"27","720052018","Aguadilla",2018,683,72005,362
"28","720072010","Aguas Buenas",2010,112,72007,0
"29","720072011","Aguas Buenas",2011,130,72007,0
"30","720072012","Aguas Buenas",2012,108,72007,0
"31","720072013","Aguas Buenas",2013,104,72007,0
"32","720072014","Aguas Buenas",2014,95,72007,0
"33","720072015","Aguas Buenas",2015,104,72007,0
"34","720072016","Aguas Buenas",2016,115,72007,0
"35","720072017","Aguas Buenas",2017,102,72007,0
"36","720072018","Aguas Buenas",2018,110,72007,62
"37","720092010","Aibonito",2010,318,72009,0
"38","720092011","Aibonito",2011,341,72009,0
"39","720092012","Aibonito",2012,340,72009,0
"40","720092013","Aibonito",2013,292,72009,0
"41","720092014","Aibonito",2014,307,72009,0
"42","720092015","Aibonito",2015,287,72009,0
"43","720092016","Aibonito",2016,312,72009,0
"44","720092017","Aibonito",2017,298,72009,0
"45","720092018","Aibonito",2018,306,72009,156
"46","720112010","Añasco",2010,103,72011,0
"47","720112011","Añasco",2011,99,72011,0
"48","720112012","Añasco",2012,120,72011,0
"49","720112013","Añasco",2013,103,72011,0
"50","720112014","Añasco",2014,122,72011,0
"51","720112015","Añasco",2015,115,72011,0
"52","720112016","Añasco",2016,115,72011,0
"53","720112017","Añasco",2017,136,72011,0
"54","720112018","Añasco",2018,119,72011,60
"55","720132010","Arecibo",2010,1108,72013,0
"56","720132011","Arecibo",2011,1227,72013,0
"57","720132012","Arecibo",2012,1252,72013,0
"58","720132013","Arecibo",2013,1143,72013,0
"59","720132014","Arecibo",2014,1237,72013,0
"60","720132015","Arecibo",2015,1138,72013,0
"61","720132016","Arecibo",2016,1182,72013,0
"62","720132017","Arecibo",2017,1254,72013,0
"63","720132018","Arecibo",2018,1109,72013,612
"64","720152010","Arroyo",2010,140,72015,0
"65","720152011","Arroyo",2011,148,72015,0
