"GEO_ID"	"NAME"	"POP.2010"	"POP.2011"	"POP.2012"	"POP.2013"	"POP.2014"	"POP.2015"	"POP.2016"	"POP.2017"	"POP.2018"	"POP.2019"	"GEO_ID2"
"1"	"0500000US72001"	"Adjuntas Municipio, Puerto Rico"	"19471"	"19297"	"19116"	"19022"	"18798"	"18565"	"18304"	"17934"	"17289"	"17363"	"72001"
"11"	"0500000US72003"	"Aguada Municipio, Puerto Rico"	"41908"	"41524"	"41094"	"40695"	"40122"	"39541"	"38896"	"38019"	"36621"	"36694"	"72003"
"21"	"0500000US72005"	"Aguadilla Municipio, Puerto Rico"	"60785"	"59988"	"58987"	"58047"	"57089"	"55825"	"54425"	"52926"	"50574"	"50265"	"72005"
"31"	"0500000US72007"	"Aguas Buenas Municipio, Puerto Rico"	"28647"	"28328"	"28045"	"27776"	"27343"	"26914"	"26401"	"25814"	"24796"	"24814"	"72007"
"41"	"0500000US72009"	"Aibonito Municipio, Puerto Rico"	"25874"	"25537"	"25203"	"24883"	"24458"	"24049"	"23600"	"23060"	"22124"	"22108"	"72009"
"51"	"0500000US72011"	"Añasco Municipio, Puerto Rico"	"29267"	"29094"	"28849"	"28618"	"28314"	"27942"	"27554"	"26977"	"26037"	"26161"	"72011"
"61"	"0500000US72013"	"Arecibo Municipio, Puerto Rico"	"96232"	"95024"	"93849"	"92967"	"91255"	"89641"	"87821"	"85423"	"82099"	"81966"	"72013"
"71"	"0500000US72015"	"Arroyo Municipio, Puerto Rico"	"19574"	"19434"	"19249"	"19074"	"18821"	"18538"	"18236"	"17833"	"17178"	"17238"	"72015"
"81"	"0500000US72017"	"Barceloneta Municipio, Puerto Rico"	"24822"	"24815"	"24801"	"24825"	"24763"	"24609"	"24445"	"24157"	"23456"	"23727"	"72017"
"91"	"0500000US72019"	"Barranquitas Municipio, Puerto Rico"	"30325"	"30193"	"30021"	"29879"	"29604"	"29309"	"28954"	"28476"	"27499"	"27725"	"72019"
"101"	"0500000US72021"	"Bayamón Municipio, Puerto Rico"	"207675"	"204498"	"201028"	"197529"	"193121"	"188801"	"183993"	"178529"	"170366"	"169269"	"72021"
"111"	"0500000US72023"	"Cabo Rojo Municipio, Puerto Rico"	"50984"	"50813"	"50659"	"50555"	"50173"	"49788"	"49366"	"48628"	"47136"	"47515"	"72023"
"121"	"0500000US72025"	"Caguas Municipio, Puerto Rico"	"142861"	"141499"	"140096"	"138670"	"136610"	"134376"	"132120"	"129241"	"124344"	"124606"	"72025"
"131"	"0500000US72027"	"Camuy Municipio, Puerto Rico"	"35112"	"34763"	"34379"	"34042"	"33514"	"32988"	"32371"	"31670"	"30456"	"30504"	"72027"
"141"	"0500000US72029"	"Canóvanas Municipio, Puerto Rico"	"47690"	"47670"	"47654"	"47552"	"47280"	"46903"	"46395"	"45699"	"44271"	"44674"	"72029"
"151"	"0500000US72031"	"Carolina Municipio, Puerto Rico"	"176442"	"173866"	"171138"	"168533"	"165337"	"161885"	"158339"	"154143"	"147542"	"146984"	"72031"
"161"	"0500000US72033"	"Cataño Municipio, Puerto Rico"	"28091"	"27643"	"27188"	"26778"	"26233"	"25628"	"25047"	"24322"	"23239"	"23121"	"72033"
"171"	"0500000US72035"	"Cayey Municipio, Puerto Rico"	"48123"	"47681"	"47234"	"46778"	"46130"	"45472"	"44818"	"43901"	"42326"	"42409"	"72035"
"181"	"0500000US72037"	"Ceiba Municipio, Puerto Rico"	"13595"	"13336"	"13072"	"12856"	"12537"	"12228"	"11908"	"11536"	"10997"	"10904"	"72037"
"191"	"0500000US72039"	"Ciales Municipio, Puerto Rico"	"18744"	"18455"	"18190"	"17963"	"17671"	"17332"	"16997"	"16561"	"15869"	"15808"	"72039"
"201"	"0500000US72041"	"Cidra Municipio, Puerto Rico"	"43475"	"43159"	"42761"	"42444"	"41843"	"41210"	"40585"	"39713"	"38219"	"38307"	"72041"
"211"	"0500000US72043"	"Coamo Municipio, Puerto Rico"	"40591"	"40586"	"40481"	"40422"	"40170"	"39889"	"39489"	"38968"	"37849"	"38336"	"72043"
"221"	"0500000US72045"	"Comerío Municipio, Puerto Rico"	"20795"	"20631"	"20495"	"20395"	"20200"	"19965"	"19654"	"19283"	"18572"	"18648"	"72045"
"231"	"0500000US72047"	"Corozal Municipio, Puerto Rico"	"37123"	"36781"	"36419"	"36060"	"35548"	"34986"	"34375"	"33589"	"32259"	"32293"	"72047"
"241"	"0500000US72049"	"Culebra Municipio, Puerto Rico"	"1820"	"1813"	"1814"	"1816"	"1813"	"1808"	"1795"	"1772"	"1715"	"1714"	"72049"
"251"	"0500000US72051"	"Dorado Municipio, Puerto Rico"	"38228"	"38260"	"38220"	"38232"	"38068"	"37791"	"37441"	"36882"	"35761"	"36141"	"72051"
"261"	"0500000US72053"	"Fajardo Municipio, Puerto Rico"	"36881"	"36227"	"35516"	"34842"	"33934"	"33069"	"32181"	"31165"	"29687"	"29454"	"72053"
"271"	"0500000US72054"	"Florida Municipio, Puerto Rico"	"12684"	"12585"	"12507"	"12437"	"12327"	"12162"	"11978"	"11734"	"11293"	"11317"	"72054"
"281"	"0500000US72055"	"Guánica Municipio, Puerto Rico"	"19371"	"18970"	"18616"	"18237"	"17805"	"17359"	"16858"	"16336"	"15530"	"15383"	"72055"
"291"	"0500000US72057"	"Guayama Municipio, Puerto Rico"	"45269"	"44427"	"44249"	"43888"	"43271"	"42641"	"41966"	"41088"	"39284"	"39465"	"72057"
"301"	"0500000US72059"	"Guayanilla Municipio, Puerto Rico"	"21517"	"21179"	"20828"	"20506"	"20065"	"19586"	"19115"	"18529"	"17715"	"17623"	"72059"
"311"	"0500000US72061"	"Guaynabo Municipio, Puerto Rico"	"97803"	"96633"	"95317"	"94139"	"92438"	"90894"	"89203"	"87085"	"83775"	"83728"	"72061"
"321"	"0500000US72063"	"Gurabo Municipio, Puerto Rico"	"45574"	"46056"	"46466"	"46889"	"47046"	"47192"	"47189"	"47011"	"46066"	"47093"	"72063"
"331"	"0500000US72065"	"Hatillo Municipio, Puerto Rico"	"41980"	"41907"	"41785"	"41732"	"41421"	"41057"	"40634"	"40019"	"38821"	"39218"	"72065"
"341"	"0500000US72067"	"Hormigueros Municipio, Puerto Rico"	"17256"	"17165"	"17034"	"16892"	"16703"	"16492"	"16268"	"15976"	"15460"	"15518"	"72067"
"351"	"0500000US72069"	"Humacao Municipio, Puerto Rico"	"58364"	"57774"	"57112"	"56516"	"55704"	"54795"	"53808"	"52632"	"50646"	"50653"	"72069"
"361"	"0500000US72071"	"Isabela Municipio, Puerto Rico"	"45656"	"45324"	"44917"	"44561"	"43996"	"43362"	"42718"	"41772"	"40259"	"40423"	"72071"
"371"	"0500000US72073"	"Jayuya Municipio, Puerto Rico"	"16630"	"16409"	"16148"	"15912"	"15642"	"15291"	"15000"	"14585"	"13929"	"13891"	"72073"
"381"	"0500000US72075"	"Juana Díaz Municipio, Puerto Rico"	"50719"	"50259"	"49777"	"49341"	"48702"	"48009"	"47271"	"46267"	"44535"	"44679"	"72075"
"391"	"0500000US72077"	"Juncos Municipio, Puerto Rico"	"40356"	"40302"	"40244"	"40242"	"39940"	"39710"	"39426"	"38902"	"37708"	"38155"	"72077"
"401"	"0500000US72079"	"Lajas Municipio, Puerto Rico"	"25696"	"25381"	"25105"	"24781"	"24372"	"23899"	"23422"	"22854"	"21991"	"22010"	"72079"
"411"	"0500000US72081"	"Lares Municipio, Puerto Rico"	"30644"	"30019"	"29382"	"28813"	"28126"	"27391"	"26592"	"25740"	"24481"	"24276"	"72081"
"421"	"0500000US72083"	"Las Marías Municipio, Puerto Rico"	"9868"	"9680"	"9507"	"9348"	"9119"	"8885"	"8669"	"8395"	"7974"	"7927"	"72083"
"431"	"0500000US72085"	"Las Piedras Municipio, Puerto Rico"	"38728"	"38785"	"38743"	"38727"	"38557"	"38319"	"38059"	"37591"	"36519"	"37007"	"72085"
"441"	"0500000US72087"	"Loíza Municipio, Puerto Rico"	"30009"	"29516"	"29001"	"28538"	"27920"	"27228"	"26602"	"25837"	"24671"	"24553"	"72087"
"451"	"0500000US72089"	"Luquillo Municipio, Puerto Rico"	"20051"	"19903"	"19733"	"19530"	"19287"	"18964"	"18641"	"18259"	"17593"	"17665"	"72089"
"461"	"0500000US72091"	"Manatí Municipio, Puerto Rico"	"44040"	"43464"	"42854"	"42285"	"41497"	"40698"	"39904"	"38933"	"37359"	"37287"	"72091"
"471"	"0500000US72093"	"Maricao Municipio, Puerto Rico"	"6277"	"6205"	"6128"	"6082"	"5986"	"5873"	"5766"	"5630"	"5424"	"5430"	"72093"
"481"	"0500000US72095"	"Maunabo Municipio, Puerto Rico"	"12235"	"12065"	"11906"	"11754"	"11544"	"11314"	"11084"	"10798"	"10361"	"10321"	"72095"
"491"	"0500000US72097"	"Mayagüez Municipio, Puerto Rico"	"88805"	"87070"	"85304"	"83698"	"81636"	"79671"	"77643"	"75371"	"71944"	"71530"	"72097"
"501"	"0500000US72099"	"Moca Municipio, Puerto Rico"	"40093"	"39733"	"39326"	"38921"	"38320"	"37730"	"37072"	"36265"	"34848"	"34891"	"72099"
"511"	"0500000US72101"	"Morovis Municipio, Puerto Rico"	"32651"	"32586"	"32480"	"32368"	"32121"	"31858"	"31520"	"31044"	"30051"	"30335"	"72101"
"521"	"0500000US72103"	"Naguabo Municipio, Puerto Rico"	"26763"	"26826"	"26856"	"26886"	"26774"	"26624"	"26456"	"26137"	"25399"	"25761"	"72103"
"531"	"0500000US72105"	"Naranjito Municipio, Puerto Rico"	"30373"	"30182"	"30007"	"29816"	"29498"	"29136"	"28719"	"28175"	"27180"	"27349"	"72105"
"541"	"0500000US72107"	"Orocovis Municipio, Puerto Rico"	"23415"	"23150"	"22880"	"22653"	"22309"	"21931"	"21534"	"21022"	"20204"	"20220"	"72107"
"551"	"0500000US72109"	"Patillas Municipio, Puerto Rico"	"19214"	"18950"	"18694"	"18468"	"18147"	"17784"	"17411"	"16961"	"16276"	"16211"	"72109"
"561"	"0500000US72111"	"Peñuelas Municipio, Puerto Rico"	"24221"	"23769"	"23277"	"22819"	"22290"	"21728"	"21120"	"20419"	"19399"	"19249"	"72111"
"571"	"0500000US72113"	"Ponce Municipio, Puerto Rico"	"165733"	"162621"	"159317"	"156396"	"153004"	"149039"	"144494"	"139888"	"133052"	"131881"	"72113"
"581"	"0500000US72115"	"Quebradillas Municipio, Puerto Rico"	"25888"	"25685"	"25480"	"25282"	"24934"	"24579"	"24173"	"23653"	"22824"	"22918"	"72115"
"591"	"0500000US72117"	"Rincón Municipio, Puerto Rico"	"15206"	"15100"	"14981"	"14872"	"14731"	"14565"	"14360"	"14087"	"13613"	"13656"	"72117"
"601"	"0500000US72119"	"Río Grande Municipio, Puerto Rico"	"54278"	"53864"	"53678"	"53332"	"52588"	"51767"	"50803"	"49631"	"47839"	"48025"	"72119"
"611"	"0500000US72121"	"Sabana Grande Municipio, Puerto Rico"	"25326"	"25031"	"24703"	"24458"	"24080"	"23605"	"23169"	"22602"	"21714"	"21712"	"72121"
"621"	"0500000US72123"	"Salinas Municipio, Puerto Rico"	"31037"	"30755"	"30405"	"30172"	"29733"	"29287"	"28804"	"28238"	"27087"	"27128"	"72123"
"631"	"0500000US72125"	"San Germán Municipio, Puerto Rico"	"35624"	"35190"	"34718"	"34161"	"33570"	"32946"	"32333"	"31465"	"30239"	"30227"	"72125"
"641"	"0500000US72127"	"San Juan Municipio, Puerto Rico"	"394296"	"386927"	"379547"	"372507"	"364166"	"355561"	"346440"	"336139"	"320761"	"318441"	"72127"
"651"	"0500000US72129"	"San Lorenzo Municipio, Puerto Rico"	"41010"	"40631"	"40254"	"39919"	"39326"	"38749"	"38119"	"37283"	"35904"	"35989"	"72129"
"661"	"0500000US72131"	"San Sebastián Municipio, Puerto Rico"	"42354"	"41773"	"41189"	"40615"	"39830"	"39024"	"38187"	"37201"	"35659"	"35528"	"72131"
"671"	"0500000US72133"	"Santa Isabel Municipio, Puerto Rico"	"23277"	"23190"	"23084"	"22998"	"22751"	"22510"	"22220"	"21794"	"21050"	"21209"	"72133"
"681"	"0500000US72135"	"Toa Alta Municipio, Puerto Rico"	"74282"	"74532"	"74661"	"74816"	"74603"	"74344"	"73890"	"73052"	"71008"	"72025"	"72135"
