GEO_ID,NAME,ESTAB0_12,ESTAB1_12,ratio_12,ESTAB0_13,ESTAB1_13,ratio_13,ESTAB0_14,ESTAB1_14,ratio_14,ESTAB0_15,ESTAB1_15,ratio_15,ESTAB0_16,ESTAB1_16,ratio_16,ESTAB0_17,ESTAB1_17,ratio_17,ESTAB0_18,ESTAB1_18,ratio_18
0500000US72001,Adjuntas,126,0,0,130,0,0,128,0,0,124,0,0,119,0,0,123,0,0,127,0,0
0500000US72003,Aguada,454,3,0.00660793,448,3,0.006696429,456,4,0.00877193,455,3,0.006593407,458,2,0.004366812,465,0,0,478,0,0
0500000US72005,Aguadilla,834,19,0.022781775,842,15,0.017814727,835,17,0.020359281,810,21,0.025925926,821,22,0.02679659,814,26,0.031941032,788,23,0.029187817
0500000US72007,Aguas Buenas,149,1,0.006711409,147,1,0.006802721,138,1,0.007246377,130,1,0.007692308,130,1,0.007692308,128,0,0,132,0,0
0500000US72009,Aibonito,284,3,0.01056338,282,3,0.010638298,276,2,0.007246377,264,2,0.007575758,260,2,0.007692308,274,0,0,266,0,0
0500000US72011,Añasco,223,9,0.040358744,226,10,0.044247788,241,8,0.033195021,225,9,0.04,237,8,0.033755274,244,3,0.012295082,253,5,0.019762846
0500000US72013,Arecibo,1012,19,0.018774704,1005,17,0.016915423,980,18,0.018367347,982,19,0.019348269,945,21,0.022222222,974,16,0.016427105,962,18,0.018711019
0500000US72015,Arroyo,80,2,0.025,79,3,0.037974684,72,2,0.027777778,67,3,0.044776119,71,2,0.028169014,76,0,0,70,0,0
0500000US72017,Barceloneta,269,14,0.05204461,261,14,0.053639847,245,15,0.06122449,244,14,0.057377049,255,13,0.050980392,266,16,0.060150376,255,16,0.062745098
0500000US72019,Barranquitas,245,0,0,232,0,0,217,0,0,213,1,0.004694836,213,2,0.009389671,214,0,0,224,0,0
0500000US72021,Bayamón,3143,77,0.024498886,3118,75,0.024053881,3051,76,0.024909866,2987,70,0.023434884,2938,62,0.021102791,2892,66,0.022821577,2820,64,0.022695035
0500000US72023,Cabo Rojo,542,5,0.009225092,529,4,0.007561437,533,5,0.009380863,518,6,0.011583012,505,7,0.013861386,491,5,0.010183299,494,5,0.010121457
0500000US72025,Caguas,2374,71,0.029907329,2372,69,0.029089376,2385,64,0.026834382,2348,65,0.027683135,2307,68,0.029475509,2323,62,0.026689625,2270,66,0.02907489
0500000US72027,Camuy,264,1,0.003787879,263,3,0.011406844,259,3,0.011583012,246,3,0.012195122,257,3,0.011673152,264,4,0.015151515,276,3,0.010869565
0500000US72029,Canóvanas,378,5,0.013227513,399,6,0.015037594,370,7,0.018918919,357,7,0.019607843,352,5,0.014204545,335,4,0.011940299,318,4,0.012578616
0500000US72031,Carolina,1984,56,0.028225806,1936,55,0.028409091,1907,59,0.030938647,1884,58,0.030785563,1842,59,0.032030402,1834,54,0.029443839,1823,51,0.027975864
0500000US72033,Cataño,315,22,0.06984127,319,21,0.065830721,314,21,0.066878981,311,18,0.057877814,305,18,0.059016393,312,19,0.060897436,309,19,0.061488673
0500000US72035,Cayey,469,15,0.031982942,467,14,0.029978587,462,12,0.025974026,465,12,0.025806452,439,11,0.025056948,453,9,0.01986755,450,8,0.017777778
0500000US72037,Ceiba,93,0,0,89,0,0,86,0,0,90,0,0,94,0,0,81,0,0,87,0,0
0500000US72039,Ciales,112,2,0.017857143,104,2,0.019230769,101,0,0,94,1,0.010638298,94,1,0.010638298,102,0,0,99,0,0
0500000US72041,Cidra,340,9,0.026470588,334,6,0.017964072,326,7,0.021472393,323,6,0.018575851,310,8,0.025806452,311,5,0.01607717,327,6,0.018348624
0500000US72043,Coamo,252,4,0.015873016,259,4,0.015444015,273,4,0.014652015,255,6,0.023529412,259,3,0.011583012,248,0,0,249,0,0
0500000US72045,Comerío,81,2,0.024691358,87,1,0.011494253,86,1,0.011627907,94,1,0.010638298,96,1,0.010416667,96,0,0,102,0,0
0500000US72047,Corozal,273,3,0.010989011,279,3,0.010752688,280,3,0.010714286,264,3,0.011363636,260,2,0.007692308,276,0,0,282,0,0
0500000US72049,Culebra,29,0,0,32,0,0,35,0,0,34,0,0,35,0,0,36,0,0,38,0,0
0500000US72051,Dorado,409,13,0.031784841,419,14,0.033412888,437,14,0.032036613,464,15,0.032327586,479,13,0.027139875,516,14,0.027131783,530,14,0.026415094
0500000US72053,Fajardo,508,11,0.021653543,527,13,0.024667932,515,11,0.021359223,492,12,0.024390244,491,12,0.024439919,472,9,0.019067797,467,11,0.023554604
0500000US72054,Florida,59,1,0.016949153,57,1,0.01754386,54,1,0.018518519,52,1,0.019230769,51,1,0.019607843,50,3,0.06,51,0,0
0500000US72055,Guánica,91,2,0.021978022,92,2,0.02173913,90,2,0.022222222,88,2,0.022727273,89,3,0.033707865,90,0,0,94,0,0
0500000US72057,Guayama,469,14,0.029850746,470,13,0.027659574,463,9,0.019438445,434,14,0.032258065,434,14,0.032258065,425,10,0.023529412,410,8,0.019512195
0500000US72059,Guayanilla,83,3,0.036144578,88,3,0.034090909,89,1,0.011235955,84,1,0.011904762,81,1,0.012345679,87,0,0,94,0,0
0500000US72061,Guaynabo,1948,65,0.033367556,1973,65,0.032944754,1986,67,0.033736153,1958,72,0.036772217,1971,63,0.03196347,1997,63,0.031547321,2038,59,0.028949951
0500000US72063,Gurabo,299,9,0.030100334,313,7,0.022364217,326,7,0.021472393,320,10,0.03125,333,9,0.027027027,323,5,0.015479876,321,5,0.015576324
0500000US72065,Hatillo,511,9,0.017612524,508,9,0.017716535,500,11,0.022,492,11,0.022357724,492,13,0.026422764,473,7,0.014799154,459,12,0.026143791
0500000US72067,Hormigueros,181,1,0.005524862,172,1,0.005813953,160,1,0.00625,161,1,0.00621118,165,1,0.006060606,157,0,0,160,0,0
0500000US72069,Humacao,790,20,0.025316456,749,20,0.02670227,733,20,0.02728513,737,22,0.029850746,738,21,0.028455285,767,22,0.028683181,724,18,0.024861878
0500000US72071,Isabela,411,10,0.0243309,416,6,0.014423077,414,6,0.014492754,420,6,0.014285714,423,6,0.014184397,429,3,0.006993007,417,0,0
0500000US72073,Jayuya,101,2,0.01980198,96,2,0.020833333,91,2,0.021978022,95,2,0.021052632,93,2,0.021505376,87,0,0,86,0,0
0500000US72075,Juana Díaz,252,5,0.01984127,263,4,0.015209125,267,4,0.014981273,274,4,0.01459854,271,4,0.014760148,252,3,0.011904762,262,3,0.011450382
0500000US72077,Juncos,240,4,0.016666667,246,5,0.020325203,238,5,0.021008403,241,5,0.020746888,233,5,0.021459227,240,0,0,230,0,0
0500000US72079,Lajas,166,4,0.024096386,167,3,0.017964072,162,3,0.018518519,156,2,0.012820513,157,2,0.012738854,159,0,0,159,3,0.018867925
0500000US72081,Lares,175,6,0.034285714,179,5,0.027932961,180,5,0.027777778,168,4,0.023809524,160,5,0.03125,177,4,0.02259887,173,4,0.023121387
0500000US72083,Las Marías,51,1,0.019607843,55,1,0.018181818,50,1,0.02,50,2,0.04,50,2,0.04,46,0,0,43,0,0
0500000US72085,Las Piedras,250,10,0.04,253,8,0.031620553,245,8,0.032653061,254,8,0.031496063,243,7,0.028806584,263,4,0.015209125,258,5,0.019379845
0500000US72087,Loíza,77,1,0.012987013,95,1,0.010526316,92,1,0.010869565,86,1,0.011627907,90,1,0.011111111,78,0,0,81,0,0
0500000US72089,Luquillo,140,1,0.007142857,153,1,0.006535948,147,1,0.006802721,148,1,0.006756757,148,1,0.006756757,142,0,0,146,0,0
0500000US72091,Manatí,628,19,0.030254777,626,19,0.030351438,618,18,0.029126214,611,16,0.026186579,600,17,0.028333333,607,17,0.02800659,598,16,0.026755853
0500000US72093,Maricao,18,1,0.055555556,18,1,0.055555556,18,1,0.055555556,19,1,0.052631579,19,1,0.052631579,21,0,0,18,0,0
0500000US72095,Maunabo,53,0,0,48,0,0,54,0,0,49,0,0,52,0,0,47,0,0,47,0,0
0500000US72097,Mayagüez,1570,45,0.02866242,1539,42,0.027290448,1524,39,0.025590551,1495,39,0.026086957,1461,38,0.026009582,1509,32,0.021206097,1463,34,0.023239918
0500000US72099,Moca,287,4,0.013937282,291,5,0.017182131,299,2,0.006688963,314,2,0.006369427,324,2,0.00617284,347,0,0,333,4,0.012012012
0500000US72101,Morovis,162,1,0.00617284,165,0,0,157,0,0,153,0,0,152,0,0,151,0,0,151,0,0
0500000US72103,Naguabo,115,2,0.017391304,117,3,0.025641026,117,3,0.025641026,125,2,0.016,128,2,0.015625,133,0,0,126,0,0
0500000US72105,Naranjito,301,1,0.003322259,287,1,0.003484321,289,0,0,283,1,0.003533569,274,1,0.003649635,285,0,0,289,0,0
0500000US72107,Orocovis,139,2,0.014388489,149,2,0.013422819,151,4,0.026490066,145,3,0.020689655,140,4,0.028571429,151,0,0,164,0,0
0500000US72109,Patillas,97,0,0,92,0,0,87,1,0.011494253,91,1,0.010989011,91,1,0.010989011,99,0,0,93,0,0
0500000US72111,Peñuelas,150,2,0.013333333,150,1,0.006666667,143,1,0.006993007,132,1,0.007575758,126,1,0.007936508,132,0,0,141,0,0
0500000US72113,Ponce,2322,55,0.023686477,2287,53,0.023174464,2267,53,0.023378915,2217,52,0.02345512,2198,48,0.021838035,2258,46,0.020372011,2220,47,0.021171171
0500000US72115,Quebradillas,205,0,0,198,0,0,195,0,0,193,1,0.005181347,192,1,0.005208333,197,0,0,205,0,0
