"GEO_ID"	"NAME"	"Unemp2010"	"Unemp2011"	"Unemp2012"	"Unemp2013"	"Unemp2014"	"Unemp2015"	"Unemp2016"	"Unemp2017"	"Unemp2018"
"1"	"72001"	"Adjuntas Municipio, Puerto Rico"	7.8	10.4	9.1	10.8	14.4	15.7	15.1	17.3	16
"2"	"72003"	"Aguada Municipio, Puerto Rico"	12	13.5	15	14.4	13.2	11.7	9.5	7.8	6
"3"	"72005"	"Aguadilla Municipio, Puerto Rico"	8	9.2	9.8	10.3	9.6	9.5	8.8	8.9	7.9
"4"	"72007"	"Aguas Buenas Municipio, Puerto Rico"	1.5	2.9	4.4	5.8	8.1	9.5	9.9	8.9	7.9
"5"	"72009"	"Aibonito Municipio, Puerto Rico"	5.7	4.6	3.7	3.5	3.1	1.9	1.9	2.1	1.9
"6"	"72011"	"Añasco Municipio, Puerto Rico"	3.8	3.4	3.6	4.8	5.4	6.3	6.8	6.4	5.6
"7"	"72013"	"Arecibo Municipio, Puerto Rico"	6.2	5.5	5.7	6	6.4	6.7	6.8	6.5	6.8
"8"	"72015"	"Arroyo Municipio, Puerto Rico"	11.5	11.2	12.3	12.9	10.4	7.9	7.5	4.7	3.5
"9"	"72017"	"Barceloneta Municipio, Puerto Rico"	7	6.9	6.6	7.2	5.8	5.7	5.8	6.7	6.8
"10"	"72019"	"Barranquitas Municipio, Puerto Rico"	5.6	4.8	4.5	4.4	2.5	2	2.7	3.5	4.4
"11"	"72021"	"Bayamón Municipio, Puerto Rico"	8.9	9.4	9.7	9.3	8.6	8.2	7.7	7.3	6.8
"12"	"72023"	"Cabo Rojo Municipio, Puerto Rico"	4	3.7	3.8	4.3	4.1	4.1	3.9	4.5	4.9
"13"	"72025"	"Caguas Municipio, Puerto Rico"	6.4	7	7.4	8.1	8.3	8.2	7.9	7.7	6.9
"14"	"72027"	"Camuy Municipio, Puerto Rico"	8.9	8.7	8	8.7	8.4	8.9	8	7.8	6.1
"15"	"72029"	"Canóvanas Municipio, Puerto Rico"	8.1	8.8	9.4	10.6	11	11.6	11.3	11.7	11.7
"16"	"72031"	"Carolina Municipio, Puerto Rico"	6.2	6.9	7.5	7.9	7.8	7.9	7.8	7.6	8
"17"	"72033"	"Cataño Municipio, Puerto Rico"	12.1	13.3	14.7	15.2	16.3	16.5	15.6	14.5	12.9
"18"	"72035"	"Cayey Municipio, Puerto Rico"	6.8	7.1	7.3	7.5	7.4	6.2	5.6	4.7	3.8
"19"	"72037"	"Ceiba Municipio, Puerto Rico"	5.4	6.1	5.6	5.6	4.8	5	4.4	4.7	4.8
"20"	"72039"	"Ciales Municipio, Puerto Rico"	9.6	8.4	7.1	6.5	6.6	5.2	4	6	6.1
"21"	"72041"	"Cidra Municipio, Puerto Rico"	7.4	6.6	6.5	7	7.1	7.1	8.1	8	7.6
"22"	"72043"	"Coamo Municipio, Puerto Rico"	5.5	5.3	5.4	5.4	5.5	4.7	4.2	3.2	2.9
"23"	"72045"	"Comerío Municipio, Puerto Rico"	3.6	3.5	3.3	3.8	5.1	7.6	8.4	10.4	10.5
"24"	"72047"	"Corozal Municipio, Puerto Rico"	3.3	3.7	4.1	5.9	5.9	8.5	10.7	11.7	12.4
"25"	"72049"	"Culebra Municipio, Puerto Rico"	4	4.3	4.5	3.4	1.7	1.7	2.1	0.9	0.5
"26"	"72051"	"Dorado Municipio, Puerto Rico"	7.2	7.6	8	8.2	8.9	9.6	10.3	10.3	10.9
"27"	"72053"	"Fajardo Municipio, Puerto Rico"	8.6	9.3	9.6	11.3	13.2	13	13.7	15	14.9
"28"	"72054"	"Florida Municipio, Puerto Rico"	5.8	7.2	6.2	6.4	7	6	6.1	6.6	6.9
"29"	"72055"	"Guánica Municipio, Puerto Rico"	13.8	13.2	13.2	12.3	11.4	9.9	11	10.8	10.8
"30"	"72057"	"Guayama Municipio, Puerto Rico"	10.9	9.6	9.5	8.3	7.5	5.9	4.6	2.4	2.4
"31"	"72059"	"Guayanilla Municipio, Puerto Rico"	9.3	9.3	10.2	10.2	8.9	8.3	8.1	9	8.9
"32"	"72061"	"Guaynabo Municipio, Puerto Rico"	7.7	8.4	8.7	8.4	7.7	6.8	6.3	5.6	5.4
"33"	"72063"	"Gurabo Municipio, Puerto Rico"	6.2	6.4	7.2	6.7	7.2	7.3	8.3	8.2	9.3
"34"	"72065"	"Hatillo Municipio, Puerto Rico"	12	10.1	9.2	8.8	7.7	5.8	4.3	3.7	2.7
"35"	"72067"	"Hormigueros Municipio, Puerto Rico"	4.1	5.8	6.2	7.9	9.1	10.3	9.9	10.5	10.5
"36"	"72069"	"Humacao Municipio, Puerto Rico"	6.7	7.5	7.4	6.5	6.2	5.5	5	5.1	5.2
"37"	"72071"	"Isabela Municipio, Puerto Rico"	6.3	5.8	5.8	6.7	7.2	7.4	7.4	7.3	6.9
"38"	"72073"	"Jayuya Municipio, Puerto Rico"	13.5	13.6	12.2	12	13.1	12.7	9.8	9.8	7.9
"39"	"72075"	"Juana Díaz Municipio, Puerto Rico"	11.1	9.1	8.1	8.3	7.5	8	9.6	11.1	11
"40"	"72077"	"Juncos Municipio, Puerto Rico"	7.4	7.7	8.6	9.4	9.9	11.6	12.7	13.1	13
"41"	"72079"	"Lajas Municipio, Puerto Rico"	4.8	4.3	3.5	3.3	4.2	5.2	5.2	5.4	6.4
"42"	"72081"	"Lares Municipio, Puerto Rico"	10.6	11.2	9.7	11.2	13.5	14.5	15.2	15.3	11.7
"43"	"72083"	"Las Marías Municipio, Puerto Rico"	3.8	2.4	2.4	2.6	2.4	1.6	1	0.8	1
"44"	"72085"	"Las Piedras Municipio, Puerto Rico"	8.5	8.3	8.4	8.6	9.1	9.5	8.8	8.7	7.6
"45"	"72087"	"Loíza Municipio, Puerto Rico"	9.8	11.4	12.9	14.2	13.9	13.4	13	13.8	13
"46"	"72089"	"Luquillo Municipio, Puerto Rico"	11.1	12.3	12	12.7	13.9	14.4	13.4	13.7	12.4
"47"	"72091"	"Manatí Municipio, Puerto Rico"	10.8	11	10.1	9.6	8.9	7.8	6.8	7.2	7
"48"	"72093"	"Maricao Municipio, Puerto Rico"	3.7	3.1	3.4	2.4	3.4	3.6	4	4	3.7
"49"	"72095"	"Maunabo Municipio, Puerto Rico"	8.1	9.6	10.6	10.7	11.6	10	8.1	7.9	9
"50"	"72097"	"Mayagüez Municipio, Puerto Rico"	7.3	7.3	6.6	7.1	8.2	9	9.5	10.4	10.5
"51"	"72099"	"Moca Municipio, Puerto Rico"	12.1	11.8	10.6	9.2	9	9	9.2	10.1	10.8
"52"	"72101"	"Morovis Municipio, Puerto Rico"	10.5	11.3	10.6	12	9.7	10	9	8.6	8.9
"53"	"72103"	"Naguabo Municipio, Puerto Rico"	6.5	7.3	8	7.1	5.2	4.3	4.5	4.2	3.8
"54"	"72105"	"Naranjito Municipio, Puerto Rico"	2.8	2.5	2.8	4.4	5.8	8.6	9.2	10.1	10.2
"55"	"72107"	"Orocovis Municipio, Puerto Rico"	14.2	13.3	12.2	11.4	10.3	11.5	10.6	12.1	13.1
"56"	"72109"	"Patillas Municipio, Puerto Rico"	8	9.4	12.1	13.1	11.7	9.9	9.5	6.9	6.7
"57"	"72111"	"Peñuelas Municipio, Puerto Rico"	7.7	9.1	10.8	12.1	11.7	10.9	10	9.4	9.6
"58"	"72113"	"Ponce Municipio, Puerto Rico"	9.2	10.3	10.5	10.7	9.9	8.3	6.8	5.8	5.3
"59"	"72115"	"Quebradillas Municipio, Puerto Rico"	6.3	5.6	6	6	6	6	6.2	4.9	4.6
"60"	"72117"	"Rincón Municipio, Puerto Rico"	10.5	11.3	11.2	10.8	10.5	7.7	6.1	5.8	4.1
"61"	"72119"	"Río Grande Municipio, Puerto Rico"	9.7	10.4	11	11.4	12.6	12.5	12	12	12
"62"	"72121"	"Sabana Grande Municipio, Puerto Rico"	10.8	11.3	11.9	12.3	9.3	8.7	7.8	7.6	6.3
"63"	"72123"	"Salinas Municipio, Puerto Rico"	14.1	12	9.7	8.7	6.5	4.5	4.2	3.6	3.2
"64"	"72125"	"San Germán Municipio, Puerto Rico"	3.7	3	2.7	2.5	2.7	2.3	2.6	2.8	2.5
"65"	"72127"	"San Juan Municipio, Puerto Rico"	7.8	8.3	8.7	8.5	8.4	8.2	7.9	7.7	7.9
"66"	"72129"	"San Lorenzo Municipio, Puerto Rico"	6.2	5.6	6.3	7.3	7.1	6.6	5.8	4.7	3.7
"67"	"72131"	"San Sebastián Municipio, Puerto Rico"	8.9	8.1	8	8.6	11	11.2	11.2	10.4	9.6
"68"	"72133"	"Santa Isabel Municipio, Puerto Rico"	9.5	7.6	6	5.3	5.4	5.4	5	4.4	4
"69"	"72135"	"Toa Alta Municipio, Puerto Rico"	5.2	6.2	7.9	8.7	8.3	8.5	8	7.1	6.2
"70"	"72137"	"Toa Baja Municipio, Puerto Rico"	7.7	8.4	9.3	9.7	9.8	10.3	9.9	9.8	9.1
"71"	"72139"	"Trujillo Alto Municipio, Puerto Rico"	4.6	4.6	4.2	4.7	4.5	4.2	4.2	3.9	3.5
"72"	"72141"	"Utuado Municipio, Puerto Rico"	12.6	12.9	12.2	12.9	12.5	10.9	11	11.4	11.2
"73"	"72143"	"Vega Alta Municipio, Puerto Rico"	9	9.5	7.7	8.6	7.9	8.8	8.5	8.5	8.2
"74"	"72145"	"Vega Baja Municipio, Puerto Rico"	6.2	5.4	4.4	4.7	4.2	5.4	6.5	6.4	7.6
"75"	"72147"	"Vieques Municipio, Puerto Rico"	5.2	5.3	6	4.7	6.5	5.4	5.7	6	6.2
"76"	"72149"	"Villalba Municipio, Puerto Rico"	15.3	13.5	13.7	14	13	12.2	12	11.9	10.5
"77"	"72151"	"Yabucoa Municipio, Puerto Rico"	8.5	8.6	9.1	8.4	9.4	8.9	9	9.4	10
"78"	"72153"	"Yauco Municipio, Puerto Rico"	12.6	13.3	13.2	12.4	11.1	10.4	9.1	9.2	7.4
