"","GEO_ID","NAME","U1_unit_detached_2010","U1_unit_attached_2010","U2_units_2010","U3_or_4_units_2010","U5_to_9_units_2010","U10_to_19_units_2010","U20_or_more_units_2010","UMobile_home_2010","UBoat_RV_van_etc_2010","U1_unit_detached_2011","U1_unit_attached_2011","U2_units_2011","U3_or_4_units_2011","U5_to_9_units_2011","U10_to_19_units_2011","U20_or_more_units_2011","UMobile_home_2011","UBoat_RV_van_etc_2011","U1_unit_detached_2012","U1_unit_attached_2012","U2_units_2012","U3_or_4_units_2012","U5_to_9_units_2012","U10_to_19_units_2012","U20_or_more_units_2012","UMobile_home_2012","UBoat_RV_van_etc_2012","U1_unit_detached_2013","U1_unit_attached_2013","U2_units_2013","U3_or_4_units_2013","U5_to_9_units_2013","U10_to_19_units_2013","U20_or_more_units_2013","UMobile_home_2013","UBoat_RV_van_etc_2013","U1_unit_detached_2014","U1_unit_attached_2014","U2_units_2014","U3_or_4_units_2014","U5_to_9_units_2014","U10_to_19_units_2014","U20_or_more_units_2014","UMobile_home_2014","UBoat_RV_van_etc_2014","U1_unit_detached_2015","U1_unit_attached_2015","U2_units_2015","U3_or_4_units_2015","U5_to_9_units_2015","U10_to_19_units_2015","U20_or_more_units_2015","UMobile_home_2015","UBoat_RV_van_etc_2015","U1_unit_detached_2016","U1_unit_attached_2016","U2_units_2016","U3_or_4_units_2016","U5_to_9_units_2016","U10_to_19_units_2016","U20_or_more_units_2016","UMobile_home_2016","UBoat_RV_van_etc_2016","U1_unit_detached_2017","U1_unit_attached_2017","U2_units_2017","U3_or_4_units_2017","U5_to_9_units_2017","U10_to_19_units_2017","U20_or_more_units_2017","UMobile_home_2017","UBoat_RV_van_etc_2017","U1_unit_detached_2018","U1_unit_attached_2018","U2_units_2018","U3_or_4_units_2018","U5_to_9_units_2018","U10_to_19_units_2018","U20_or_more_units_2018","UMobile_home_2018","UBoat_RV_van_etc_2018"
"1","72001","Adjuntas Municipio, Puerto Rico",82.5,9.5,1.9,1.4,2.6,1.4,0.4,0.2,0,84.2,8,2.2,1.4,2.6,1.3,0.3,0.2,0,84.7,8,1.7,1.3,2.3,1.7,0.2,0,0,85.4,8.3,1.6,1.1,2.1,1.3,0.1,0,0,85.7,7.9,1.6,1.4,2.2,1.3,0,0,0,84.4,9.1,0.6,2,2.2,1.2,0,0.4,0,83.8,9.3,0.8,2.4,2.1,1,0.3,0.4,0,83.2,9.6,0.8,2.3,2.5,1,0.3,0.4,0,82.2,10.5,0.9,2,2.3,1.3,0.4,0.4,0
"2","72003","Aguada Municipio, Puerto Rico",73.9,8.7,12.2,2,1.7,0.6,0.9,0.1,0,74.1,5.8,15.3,2.3,1.3,0.6,0.6,0,0,74.6,3.5,16.5,3.2,1,0.9,0.4,0,0,72.5,3.2,17.5,3.8,1.4,1,0.5,0.1,0,71.3,2.8,18.8,4.2,1.2,1,0.6,0.1,0,70.1,3.1,19.6,4.7,1,0.8,0.6,0.1,0,69.7,2.9,20.2,4.4,1.6,0.6,0.6,0.1,0,70.8,2.6,20,3.7,1.7,0.4,0.7,0.1,0,70,2.5,21.7,3.8,1.3,0.1,0.6,0,0
"3","72005","Aguadilla Municipio, Puerto Rico",69.9,13.7,2.1,2.4,5.4,3.8,2.5,0.1,0,70,11.8,3.2,2.6,6,3.5,2.6,0.2,0,69.8,10.3,4.7,2.7,5.5,3.8,3,0.2,0,68.7,9.3,6.3,3.2,5,3.9,3.5,0.1,0,67.8,9.6,6.7,3.2,4.7,4.3,3.6,0.2,0,66.7,10.8,6.7,3,4.2,4.7,3.7,0.2,0,66.6,11.5,6,2.8,3.7,5.4,3.8,0.2,0,66.5,13.7,4.3,2.4,3.8,5.4,3.7,0.1,0,67.5,15.3,2.3,2,3.5,5.9,3.3,0.2,0
"4","72007","Aguas Buenas Municipio, Puerto Rico",73.9,18.5,2.5,2.8,0.8,0.8,0,0.6,0,73.8,18.2,2.8,2.9,1,0.8,0,0.4,0,71.5,15,7.2,3.5,0.9,1.4,0.1,0.4,0,67.9,16.3,7.9,4.1,1.5,1.5,0.3,0.4,0,67.8,17.2,8.1,3.8,1.5,1.3,0.3,0,0,66.8,13.7,12.7,3.4,1.9,1.2,0.3,0,0,65.5,12.3,14.4,4,2.3,1.2,0.3,0,0,65.4,11.6,16.5,3.5,2.3,0.3,0.4,0,0,66.6,9.5,18.7,2.9,1.3,0.4,0.2,0.4,0
"5","72009","Aibonito Municipio, Puerto Rico",75.1,19.9,0.4,0.7,2.1,0.4,1.4,0,0,76.8,17.9,0.5,0.8,2.3,0.4,1.4,0,0,79.8,14.9,0.5,1,2.1,0.3,1.4,0,0,81.7,13.1,0.6,0.8,1.9,0.1,1.6,0.2,0,84,9.9,0.5,1,2.5,0.4,1.4,0.3,0,84.5,9.1,0.8,1,2.5,0.2,1.3,0.5,0,83.8,9.9,0.8,0.9,2.5,0.3,1.3,0.6,0,82,11,0.9,0.6,3.4,0.3,1.3,0.6,0,79.6,13.8,0.7,0.7,3.7,0.2,1,0.4,0
"6","72011","Añasco Municipio, Puerto Rico",74.6,19.7,1.1,0.9,1.6,0.6,0.9,0.4,0,74.7,18.9,1.4,0.8,1.7,1.1,0.9,0.6,0,75.6,18.6,1.1,0.7,1.5,1.4,0.7,0.4,0,77.3,17.1,0.5,0.8,1.7,1.4,0.7,0.4,0,77.2,13.7,3.8,1.4,1.6,1.4,0.7,0.3,0,77,11.5,5.6,1.7,1.9,1.2,0.8,0.3,0,77.1,8.8,8.5,1.9,1.7,0.9,0.8,0.3,0,76.6,5.7,11.6,2,2.1,0.9,0.9,0.3,0,73.8,4.8,14.9,2.4,2.1,0.9,0.8,0.1,0
"7","72013","Arecibo Municipio, Puerto Rico",78.6,13.4,0.8,1.9,2.4,1.6,1.2,0.1,0,79.5,12.5,0.8,1.8,2.3,1.5,1.2,0.2,0,79.2,12.2,1,1.7,2.6,1.7,1.4,0.2,0,80.7,10.8,1,1.8,2.5,1.7,1.2,0.2,0,81.4,9.5,1,2,2.5,1.8,1.5,0.2,0,82.9,8.1,0.9,2.2,2.4,1.8,1.5,0.2,0,82.6,7.7,1,2.3,2.4,2.1,1.9,0.1,0,83.8,7,0.8,2.2,2.1,2.1,1.9,0.1,0,84.6,6.2,0.8,2.1,1.9,2.2,2.2,0.1,0
"8","72015","Arroyo Municipio, Puerto Rico",79.1,11.2,2.8,1.9,2.4,1.3,1.2,0.1,0,79.8,10.4,3.6,1.8,2.1,1.2,0.9,0.1,0,83.1,8.6,2.8,1.1,2.6,0.9,0.7,0.1,0,83.1,7.5,2.4,1.2,3.7,0.5,1.2,0.4,0,84.8,6.7,1.9,1.2,3.4,0.6,0.9,0.5,0,84.7,6.4,1.6,1.8,3.7,0.3,0.9,0.7,0,84.6,6.6,0.9,1.4,4.2,0.7,0.9,0.7,0,83.8,7.4,0.9,1.2,4.3,0.8,1,0.7,0,84,8,1.3,1.3,3.4,1.3,0,0.7,0
"9","72017","Barceloneta Municipio, Puerto Rico",81.2,14.5,0.8,0.8,2.1,0.5,0.2,0,0,80.3,13.3,1,1.4,3,0.6,0.5,0,0,79,13.5,1.1,1.4,3.6,0.9,0.5,0,0,78.9,13.6,0.9,1.4,3.6,0.9,0.7,0,0,77.2,14.3,1.4,1.7,3.6,0.8,0.7,0.2,0,79.1,12.5,1.2,1.9,3.9,0.8,0.5,0.2,0,80.9,11.8,1.2,1.5,3.2,1,0.2,0.2,0,80.1,11.6,1.3,2.5,3.5,0.5,0.2,0.2,0,80.6,11.5,1.3,2.5,3.5,0.5,0,0.2,0
"10","72019","Barranquitas Municipio, Puerto Rico",75.1,19.9,0.6,1.2,1.5,0.9,0.9,0,0,76.7,18.5,0.8,1.2,1.8,0.5,0.5,0,0,76.3,18.6,0.7,1.3,1.2,1.1,0.7,0,0,79.2,15.8,0.6,1.4,1.3,1.1,0.5,0,0,80.9,14,0.8,1.3,1.2,1.1,0.7,0,0,79,15.1,0.9,1.7,1.2,1.2,0.9,0.1,0,79.3,14.8,0.8,1.9,1,1.2,1,0.1,0,80.7,14.3,0.8,2.1,0.7,0.4,0.9,0.1,0,78.8,14.9,1.3,2.2,0.8,0.4,1,0.6,0
